Key,Participant_ID,Start_ms,End_ms,ivt_mean_fix_dur,ivt_mean_sac_amp,ivt_fixation_count,ivt_saccade_count
2Item3,28,1675511393477.7937,1675511413528.915,179.09299648709757,1.6816280256769418,427.0,314.0
2Item4,28,1675511415002.3396,1675511442394.0642,246.29511293436207,3.186877642287537,777.0,547.0
2Item5,28,1675511443872.5696,1675511459879.3984,215.6002271948406,2.491103327988026,467.0,286.0
2Item6,28,1675511461384.5674,1675511494440.6711,221.01864357723616,2.426005398127839,615.0,449.0
2Item7,28,1675511495958.4363,1675511547687.2263,181.6620954496211,1.9960161464115416,923.0,650.0
2Item8,28,1675511549108.2048,1675511586758.1875,246.4634371582514,1.9944104753086944,1207.0,682.0
2Item9,28,1675511588999.393,1675511616915.4785,175.84843361344008,1.4233041596926799,357.0,312.0
2Item10,28,1675511619165.749,1675511666631.6504,215.56412930477956,2.8243213469409154,1237.0,660.0
3spl1,28,1675511769918.7766,1675511774054.9573,159.77024946806364,2.8390716611469475,94.0,67.0
3spl2,28,1675511774100.096,1675511776983.0786,150.0983852381487,2.801052923412687,105.0,74.0
3Item15,28,1675511777024.9387,1675511786173.2168,184.104288624336,3.0352547901965643,378.0,252.0
3Item2,28,1675511786221.3423,1675511790431.5078,276.3907347234975,3.01640820937524,237.0,74.0
3Item5,28,1675511790465.747,1675511798798.819,200.3616781798284,2.6731202381242176,456.0,235.0
3Item12,28,1675511798827.2732,1675511807559.389,215.4496971252462,3.370841164319593,487.0,163.0
3Item6,28,1675511807599.4568,1675511811816.2605,140.42930249998923,2.997650345523905,200.0,112.0
3Item8,28,1675511811844.1296,1675511817999.4966,186.6396563774825,2.7159718839416613,196.0,107.0
3Item7,28,1675511818031.25,1675511833859.5493,220.43876503630247,3.750286706993445,552.0,309.0
3Item9,28,1675511833902.7983,1675511848823.756,267.7102923669603,3.712628818066285,714.0,246.0
3Item17,28,1675511848864.973,1675511866589.1292,204.04496512062207,1.7293986319435066,539.0,247.0
3Item19,28,1675511866635.7195,1675511880007.2568,217.71229974047492,2.5449452423531214,578.0,310.0
3Item11,28,1675511880037.514,1675511885713.4397,202.9830839928899,4.692795684765397,278.0,106.0
3Item4,28,1675511885747.272,1675511888543.0596,180.94350487004985,2.7913840351560704,154.0,59.0
3Item13,28,1675511888574.0042,1675511894819.1772,186.16005387924545,4.91918461807163,348.0,159.0
3Item10,28,1675511894819.1772,1675511897819.1772,125.6577665540311,2.853851982738499,148.0,76.0
1spl1,29,1675340736888.337,1675340745485.035,289.3564074705051,6.676711146476514,763.0,173.0
1spl2,29,1675340745614.0,1675340754441.1235,336.153148294127,9.905574686500783,850.0,168.0
1Item1,29,1675340754470.4983,1675340764270.4111,271.7420786666588,8.166351225973436,900.0,199.0
1Item2,29,1675340764300.527,1675340779360.8303,336.3378244427876,6.690334815355688,1346.0,251.0
1Item3,29,1675340779379.5603,1675340789457.1855,253.4675366467005,5.367185714041113,835.0,217.0
1Item4,29,1675340789478.047,1675340815722.5842,302.4399549999921,7.094282693102571,2350.0,540.0
1Item5,29,1675340815753.611,1675340861524.1538,324.2251053566597,4.982312120931787,3659.0,783.0
1Item6,29,1675340861551.5469,1675340904137.171,310.2283305921125,5.666689732562495,3496.0,668.0
1Item7,29,1675340904163.8438,1675340936603.4124,349.88285530003486,4.730507231475105,2783.0,496.0
1Item8,29,1675340936620.6528,1675340989470.8484,266.4480511245661,6.539231226644136,4046.0,1110.0
1Item9,29,1675340989499.1758,1675341018202.941,312.3166982711717,5.215063825347236,2574.0,448.0
1Item10,29,1675341018227.6238,1675341050855.9648,282.1821608383172,5.532090742944858,2505.0,684.0
2spl1,29,1675341144571.3325,1675341151501.4058,239.1397192383035,7.289364352698649,512.0,167.0
2spl2,29,1675341153679.578,1675341161144.7158,262.6680919628021,7.063728413091059,591.0,155.0
2Item1,29,1675341162234.016,1675341167785.433,238.38862250531804,7.677031702991943,471.0,132.0
2Item2,29,1675341168759.206,1675341175079.7578,223.21159876660823,8.200756237572307,527.0,135.0
2Item3,29,1675341175921.0398,1675341183276.9688,243.0596257095069,6.776064099482896,599.0,153.0
2Item4,29,1675341184139.8982,1675341203592.445,371.6136267086679,4.567862403146373,1562.0,290.0
2Item5,29,1675341204676.237,1675341218120.213,288.8609597363977,7.302954917237014,1176.0,234.0
2Item6,29,1675341219028.682,1675341238132.9443,293.63217665505044,7.263563403503772,1435.0,312.0
2Item7,29,1675341239065.583,1675341316803.4104,305.8304207797717,4.522649487863936,5835.0,1423.0
2Item8,29,1675341317746.465,1675341344335.4487,337.230114789679,4.784356041820481,2211.0,391.0
2Item9,29,1675341345434.6316,1675341370927.47,298.52098427872767,6.52324608810452,2045.0,467.0
2Item10,29,1675341372181.3562,1675341435919.8171,350.0188103813038,4.690413106759492,5009.0,1060.0
3spl1,29,1675341525465.0718,1675341532163.4128,274.5171500000753,5.445102138204818,560.0,125.0
3Item15,29,1675341537538.056,1675341548946.6008,339.36066678986606,6.699242571485113,947.0,256.0
3Item2,29,1675341548964.9646,1675341554642.7969,226.2516134058081,6.276603378338617,414.0,157.0
3Item5,29,1675341554667.549,1675341561577.199,212.8470676676145,6.53817398454155,552.0,185.0
3Item12,29,1675341561598.0652,1675341568760.4663,295.47581784420964,6.210992374655405,552.0,160.0
3Item6,29,1675341568777.493,1675341574528.703,269.4246363082941,5.826844306308725,493.0,136.0
3Item8,29,1675341574543.1155,1675341589821.874,352.48148452006615,8.375664635638097,1292.0,280.0
3Item7,29,1675341589845.9812,1675341606155.1726,313.27006560828994,6.517798882607846,1307.0,285.0
3Item9,29,1675341606172.7517,1675341631945.5603,233.9058614293734,6.2638226968129205,1833.0,535.0
3Item17,29,1675341631964.2246,1675341639211.736,265.8198602822704,7.776959562838173,496.0,211.0
3Item19,29,1675341639211.736,1675341658211.736,290.1082533284236,5.5341676577838514,1367.0,430.0
1spl1,30,1676721782806.7104,1676721791047.0796,309.1575925700352,7.39189748256608,821.0,127.0
1spl2,30,1676721791187.7458,1676721803176.303,311.39330809248577,8.011777418454244,1211.0,207.0
1Item1,30,1676721803204.0735,1676721813934.391,338.7605253289475,9.099960015858317,1064.0,195.0
1Item2,30,1676721813963.936,1676721818347.8335,285.82722874693167,7.308950246108271,407.0,91.0
1Item3,30,1676721818378.9453,1676721829936.0366,300.7446736111104,5.638816915124346,1080.0,130.0
1Item4,30,1676721829955.5752,1676721857881.8694,370.49132275641,6.576970177828879,2808.0,362.0
1Item5,30,1676721857907.0337,1676721878032.2705,286.80411076300965,5.975478608662234,1979.0,324.0
1Item6,30,1676721878058.3904,1676721893424.6077,474.88113256355905,5.293543769098624,1630.0,146.0
1Item7,30,1676721893445.5452,1676721944737.017,335.56240326726834,7.337877064159626,5096.0,687.0
1Item8,30,1676721944765.1511,1676721973894.9172,392.4093905309719,6.132344355604241,2825.0,426.0
1Item9,30,1676721973915.5637,1676722005187.1064,428.1234395667391,6.588344107015452,3139.0,377.0
1Item10,30,1676722005216.208,1676722027694.8328,320.622433211181,7.785736685375224,2183.0,341.0
2spl1,30,1676722090315.102,1676722098075.2388,444.0258611901724,8.386278999308791,773.0,131.0
2spl2,30,1676722099951.695,1676722109826.808,321.4423911398944,7.801468339623351,965.0,140.0
2Item1,30,1676722111603.063,1676722125307.487,269.7739027370703,8.16038616444764,1297.0,264.0
2Item2,30,1676722126529.025,1676722139764.5186,291.6896982156596,8.039141328827482,1289.0,252.0
2Item3,30,1676722140794.785,1676722156150.4502,324.1706755562822,7.425825641578215,1528.0,233.0
2Item4,30,1676722157193.6003,1676722204027.975,410.9353573249804,6.707536376689371,4628.0,606.0
2Item5,30,1676722205074.4358,1676722223461.6377,274.8482563615532,8.22844515444287,1737.0,321.0
2Item6,30,1676722224448.5515,1676722270936.3032,319.4020046167768,8.778377363180011,4462.0,745.0
2Item7,30,1676722272154.7446,1676722341736.32,342.8863321274611,6.93278033089174,6731.0,913.0
2Item8,30,1676722342682.8096,1676722363204.1572,302.498148826758,7.835805110914684,2003.0,350.0
2Item9,30,1676722364315.0745,1676722384153.812,331.9183301092123,6.460940948297677,1923.0,282.0
2Item10,30,1676722385177.632,1676722415557.7903,294.49399058462706,7.755425853754883,2942.0,480.0
3spl1,30,1676722473685.3784,1676722478291.0771,231.95805812767105,7.040008231198177,441.0,89.0
3Item15,30,1676722485735.681,1676722491442.2876,252.2454823251757,6.052573146904542,529.0,112.0
3Item2,30,1676722491460.4658,1676722501881.4878,298.44708776327485,8.435560208613802,997.0,213.0
3Item5,30,1676722501904.3298,1676722508593.4285,285.3029249999599,7.243141276935532,628.0,114.0
3Item12,30,1676722508617.285,1676722519056.0042,345.97168057931657,7.777901798999817,1053.0,156.0
3Item6,30,1676722519073.6309,1676722524310.7112,329.98264593022884,8.5862621665789,516.0,101.0
3Item8,30,1676722524328.3088,1676722564153.714,330.5838270002581,6.177436421757229,3937.0,531.0
3Item7,30,1676722564175.3396,1676722586176.806,323.5727337656378,6.91463895743719,2159.0,352.0
3Item9,30,1676722586197.547,1676722591991.4026,334.4610563047167,6.87057735368006,571.0,101.0
3Item17,30,1676722592007.7727,1676722603363.024,237.9751205498603,6.836277592313727,1073.0,187.0
3Item19,30,1676722603363.024,1676722606363.024,233.0481406716314,6.894060470179135,268.0,70.0
1spl1,31,1677158460539.9504,1677158474607.5032,293.2212900217696,5.490191298481872,1378.0,246.0
1spl2,31,1677158474702.446,1677158482194.5374,227.2982993966792,5.841601492324144,663.0,140.0
1Item1,31,1677158482222.538,1677158492435.0032,220.449561636972,7.10243469490887,898.0,195.0
1Item2,31,1677158492452.5884,1677158516812.594,260.73698711120386,4.149911437051375,2347.0,402.0
1Item3,31,1677158516832.2742,1677158533112.4158,228.74070394824196,5.60445380740077,1507.0,321.0
1Item4,31,1677158533130.4814,1677158543597.6316,219.4190292268024,5.647912758945359,970.0,197.0
1Item5,31,1677158543615.5022,1677158568163.1328,250.897586657971,6.260770513176094,2301.0,445.0
1Item6,31,1677158568181.828,1677158601381.5469,267.123604490055,5.423452473984571,3118.0,593.0
1Item7,31,1677158601399.1255,1677158634496.2969,309.72898836108754,5.779394210613005,3063.0,551.0
1Item8,31,1677158634516.3157,1677158669704.864,280.4598490334449,5.445095120305609,3259.0,652.0
1Item9,31,1677158669723.215,1677158713644.888,380.56618313240455,4.634821448173308,4241.0,577.0
1Item10,31,1677158713665.433,1677158729239.3826,272.9222799798095,5.705826142640801,1486.0,253.0
2spl1,31,1677158911542.7078,1677158919183.3213,225.44694701803124,6.815574762049039,721.0,159.0
2spl2,31,1677158922665.8647,1677158961475.008,268.35589091845566,6.879270931024847,3397.0,626.0
2Item1,31,1677158963201.059,1677158974019.9546,246.88095097434484,6.529504973393374,975.0,219.0
2Item2,31,1677158975034.4475,1677159008053.8071,290.49483656645634,5.16754806876545,3160.0,517.0
2Item3,31,1677159009121.0112,1677159024394.071,271.4029222301588,5.028189239175931,1399.0,262.0
2Item4,31,1677159025285.8008,1677159083668.3242,318.8190485725101,5.084176913210878,5254.0,834.0
2Item5,31,1677159084458.6897,1677159091954.0664,245.1859449695047,7.090456640294137,656.0,144.0
2Item6,31,1677159092996.7542,1677159120815.6172,274.8219692579466,7.060968621308284,2547.0,512.0
2Item7,31,1677159121715.1418,1677159165129.8408,328.9046699159835,5.50507858654755,4047.0,661.0
2Item8,31,1677159166026.1829,1677159201411.807,250.39569083793248,5.597132204464136,3258.0,652.0
2Item9,31,1677159203255.905,1677159230357.851,293.78602206783165,5.550045400303324,2447.0,417.0
2Item10,31,1677159231467.627,1677159241082.2014,248.35465654896416,7.171588293531057,878.0,186.0
3spl1,31,1677159358246.2285,1677159365787.4973,219.5808559618309,6.872351738872614,629.0,142.0
3Item15,31,1677159370316.8982,1677159386339.6536,234.54182697418375,6.065881452914241,1431.0,352.0
3Item2,31,1677159386358.1538,1677159393493.3767,202.6714873206253,5.859082250239055,627.0,143.0
3Item5,31,1677159393510.8906,1677159399566.297,188.34066171735532,6.102521833908185,529.0,136.0
3Item12,31,1677159399577.825,1677159407711.432,235.4946827489607,6.601364625275954,713.0,155.0
3Item6,31,1677159407727.918,1677159413369.7017,196.5208094230965,6.588454730602892,520.0,124.0
3Item8,31,1677159413390.118,1677159430934.9988,251.14307387915767,4.537999817827396,1539.0,289.0
3Item7,31,1677159430951.5383,1677159440274.099,251.12916859125596,6.340246440943613,866.0,179.0
3Item9,31,1677159440291.4917,1677159459157.622,231.85781418396704,6.38728089075558,1685.0,358.0
3Item17,31,1677159459157.622,1677159490157.622,317.70610859255333,4.804362471642449,2636.0,395.0
1spl1,32,1677243752613.73,1677243759849.6006,241.35249474670076,5.654350591357009,533.0,168.0
1spl2,32,1677243759974.673,1677243764987.4956,286.0578013784386,5.281668345440407,399.0,94.0
1Item1,32,1677243765018.947,1677243776659.4585,223.74070331411335,7.397509759110985,1041.0,260.0
1Item2,32,1677243776675.5996,1677243790474.346,320.0355991497965,7.098745618628123,1235.0,252.0
1Item3,32,1677243790490.722,1677243817572.9014,271.27632007410085,8.827814350576748,2294.0,567.0
1Item4,32,1677243817588.5894,1677243842698.029,289.8933068300103,7.97912019850093,2306.0,462.0
1Item5,32,1677243842713.8872,1677243877639.8328,388.308142816188,5.386047294623724,3139.0,500.0
1Item6,32,1677243877655.722,1677243894906.7605,320.822103248411,4.887180357855462,1570.0,236.0
1Item7,32,1677243894920.792,1677243910104.7605,247.87302705591603,8.754180929074565,1216.0,372.0
1Item8,32,1677243910123.0022,1677243942336.2588,276.6212184210452,6.590485264805168,2774.0,607.0
1Item9,32,1677243942351.2944,1677243992316.3967,410.26761470591896,4.453390645529834,4701.0,640.0
1Item10,32,1677243992330.9448,1677244035714.213,316.13932896680143,5.1814887117266775,3794.0,626.0
2spl1,32,1677244104917.339,1677244117872.4883,321.41000699875497,7.17947087508952,793.0,219.0
2spl2,32,1677244122995.9355,1677244128595.5938,236.86657381928487,7.513494843827014,487.0,119.0
2Item1,32,1677244129787.2334,1677244136705.2744,291.9817847938295,7.641321179998169,582.0,166.0
2Item2,32,1677244137826.3655,1677244141856.881,184.49333337977103,8.333706981083878,271.0,122.0
2Item3,32,1677244142960.5671,1677244171432.279,267.5542928141541,5.400988133954924,2658.0,459.0
2Item4,32,1677244172505.8738,1677244204876.7966,360.45020569492937,5.1116685403784565,2950.0,402.0
2Item5,32,1677244205904.2163,1677244232083.8684,375.84973098590274,5.816131875591551,2343.0,394.0
2Item6,32,1677244233001.1084,1677244260041.778,361.6587200277299,4.468718743546415,2524.0,326.0
2Item7,32,1677244260981.111,1677244288251.8943,345.3731954655344,4.090961427283058,2481.0,387.0
2Item8,32,1677244289494.9744,1677244329648.965,324.13935227027326,4.533873115277613,3700.0,580.0
2Item9,32,1677244331179.272,1677244366250.4038,343.2334226157063,4.097956545934065,3219.0,489.0
2Item10,32,1677244367080.5715,1677244391459.2532,327.17440604857194,4.942190390097282,2141.0,367.0
3spl1,32,1677244457113.0276,1677244465611.0945,307.69084975246,3.7340142870920414,808.0,119.0
3Item15,32,1677244469168.4011,1677244494706.7964,324.11029745909195,4.561612626413125,2322.0,418.0
3Item2,32,1677244494721.7764,1677244506827.167,284.4531049029103,6.073174357322159,1030.0,218.0
3Item5,32,1677244506849.4487,1677244521602.0278,272.18409356186174,6.973778207955275,1196.0,334.0
3Item12,32,1677244521618.6482,1677244538381.1248,292.9451147350979,5.488819127496775,1510.0,283.0
3Item6,32,1677244538397.7742,1677244548210.6628,246.54394521026316,6.066374006647155,856.0,214.0
3Item8,32,1677244548235.9514,1677244558412.0518,269.2228271895685,7.114980381521897,765.0,191.0
