Key,Participant_ID,Category,Difficulty,ResponseTime,routineStart,routineEnd,Result,Start_ms,End_ms
3Item9,29,3,1,25.772808800000348,1675341606.1727514,1675341631.9455602,,1675341606172.7517,1675341631945.5603
3Item17,29,3,2,7.247511599998688,1675341631.9642246,1675341639.2117362,1.0,1675341631964.2246,1675341639211.736
3Item19,29,3,0,19.0,1675341639.2117362,1675341658.2117362,,1675341639211.736,1675341658211.736
1spl1,30,1,0,8.240369100007229,1676721782.8067105,1676721791.0470796,1.0,1676721782806.7104,1676721791047.0796
1spl2,30,1,0,11.988556899945252,1676721791.1877458,1676721803.176303,0.0,1676721791187.7458,1676721803176.303
1Item1,30,1,0,10.730317700072192,1676721803.2040734,1676721813.934391,1.0,1676721803204.0735,1676721813934.391
1Item2,30,1,0,4.383897199993953,1676721813.963936,1676721818.3478334,0.0,1676721813963.936,1676721818347.8335
1Item3,30,1,0,11.557091199909337,1676721818.3789454,1676721829.9360366,0.0,1676721818378.9453,1676721829936.0366
1Item4,30,1,1,27.92629420000594,1676721829.9555752,1676721857.8818693,1.0,1676721829955.5752,1676721857881.8694
1Item5,30,1,1,20.12523670005612,1676721857.9070337,1676721878.0322704,0.0,1676721857907.0337,1676721878032.2705
1Item6,30,1,1,15.36621740006376,1676721878.0583904,1676721893.4246078,1.0,1676721878058.3904,1676721893424.6077
1Item7,30,1,2,51.2914719999535,1676721893.4455452,1676721944.7370172,0.0,1676721893445.5452,1676721944737.017
1Item8,30,1,2,29.129766300087795,1676721944.765151,1676721973.8949172,0.0,1676721944765.1511,1676721973894.9172
1Item9,30,1,2,31.2715426000068,1676721973.9155638,1676722005.1871064,1.0,1676721973915.5637,1676722005187.1064
1Item10,30,1,2,22.4786247999873,1676722005.216208,1676722027.6948328,1.0,1676722005216.208,1676722027694.8328
2spl1,30,2,0,7.760136600001715,1676722090.315102,1676722098.0752387,1.0,1676722090315.102,1676722098075.2388
2spl2,30,2,0,9.875112900044767,1676722099.951695,1676722109.826808,0.0,1676722099951.695,1676722109826.808
2Item1,30,2,0,13.704423999995925,1676722111.603063,1676722125.307487,1.0,1676722111603.063,1676722125307.487
2Item2,30,2,0,13.235493800020777,1676722126.5290246,1676722139.7645185,1.0,1676722126529.025,1676722139764.5186
2Item3,30,2,0,15.35566550004296,1676722140.7947848,1676722156.1504502,1.0,1676722140794.785,1676722156150.4502
2Item4,30,2,1,46.83437480009161,1676722157.1936004,1676722204.027975,0.0,1676722157193.6003,1676722204027.975
2Item5,30,2,1,18.387202099896967,1676722205.0744357,1676722223.4616375,1.0,1676722205074.4358,1676722223461.6377
2Item6,30,2,1,46.48775169998408,1676722224.4485514,1676722270.9363031,1.0,1676722224448.5515,1676722270936.3032
2Item7,30,2,2,69.58157549996395,1676722272.1547446,1676722341.73632,0.0,1676722272154.7446,1676722341736.32
2Item8,30,2,2,20.521347500034608,1676722342.6828096,1676722363.204157,0.0,1676722342682.8096,1676722363204.1572
2Item9,30,2,2,19.838737500016578,1676722364.3150744,1676722384.153812,0.0,1676722364315.0745,1676722384153.812
2Item10,30,2,2,30.380158299929462,1676722385.177632,1676722415.5577905,1.0,1676722385177.632,1676722415557.7903
3spl1,30,3,0,4.6056989000644535,1676722473.6853783,1676722478.2910771,1.0,1676722473685.3784,1676722478291.0771
3Item15,30,3,2,5.706607200088911,1676722485.7356806,1676722491.4422877,1.0,1676722485735.681,1676722491442.2876
3Item2,30,3,0,10.421022000024095,1676722491.460466,1676722501.8814878,1.0,1676722491460.4658,1676722501881.4878
3Item5,30,3,0,6.689098700066097,1676722501.9043298,1676722508.5934284,1.0,1676722501904.3298,1676722508593.4285
3Item12,30,3,1,10.438718999968842,1676722508.617285,1676722519.056004,1.0,1676722508617.285,1676722519056.0042
3Item6,30,3,0,5.237080299993977,1676722519.0736308,1676722524.3107111,1.0,1676722519073.6309,1676722524310.7112
3Item8,30,3,1,39.82540520001203,1676722524.3283088,1676722564.153714,0.0,1676722524328.3088,1676722564153.714
3Item7,30,3,1,22.00146629998926,1676722564.1753397,1676722586.176806,1.0,1676722564175.3396,1676722586176.806
3Item9,30,3,1,5.7938554000575095,1676722586.1975472,1676722591.9914026,1.0,1676722586197.547,1676722591991.4026
3Item17,30,3,2,11.355251400033012,1676722592.0077727,1676722603.363024,0.0,1676722592007.7727,1676722603363.024
3Item19,30,3,0,3.0,1676722603.363024,1676722606.363024,,1676722603363.024,1676722606363.024
1spl1,31,1,0,14.06755290000001,1677158460.5399504,1677158474.6075032,1.0,1677158460539.9504,1677158474607.5032
1spl2,31,1,0,7.492091499996604,1677158474.702446,1677158482.1945374,1.0,1677158474702.446,1677158482194.5374
1Item1,31,1,0,10.212465400007204,1677158482.222538,1677158492.4350033,1.0,1677158482222.538,1677158492435.0032
1Item2,31,1,0,24.36000570000033,1677158492.4525883,1677158516.812594,1.0,1677158492452.5884,1677158516812.594
1Item3,31,1,0,16.280141499999445,1677158516.8322742,1677158533.1124158,1.0,1677158516832.2742,1677158533112.4158
1Item4,31,1,1,10.467150199998288,1677158533.1304815,1677158543.5976317,1.0,1677158533130.4814,1677158543597.6316
1Item5,31,1,1,24.54763079999248,1677158543.615502,1677158568.163133,1.0,1677158543615.5022,1677158568163.1328
